 Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2,Activity_Name
554295,34238,37749,18542,44599,11186,10997,10088,Stationary
1007786,38789,15123,20652,30802,6904,5070,3436,Stationary
43692,9494,2658,1294,1326,2535,4751,1038,Stationary
198776,135448,62410,2940,10622,9859,14380,3594,Stationary
2464976,314817,46959,37768,57638,11501,31554,6969,Stationary
14869,28820,5486,3533,8364,8057,8905,10083,Stationary
25944,62727,22274,6462,14796,11744,7755,3698,Stationary
69634,17905,22253,10573,2765,20010,18886,16111,Stationary
275234,23667,5616,1518,759,1424,741,245,Stationary
1186345,263534,13787,26492,29405,11650,10367,5699,Stationary
612798,28614,53548,6228,18996,12501,7773,2351,Stationary
931799,48032,61621,27556,29607,34581,5050,4301,Stationary
160038,12394,5009,1408,2230,389,993,326,Stationary
64242,41969,1042,27643,17059,13953,17706,3946,Stationary
307212,11820,3767,5002,3819,2838,3232,1722,Stationary
166106,10665,734,683,1420,682,1620,769,Stationary
86882,45179,38005,7033,5914,16482,11869,6321,Stationary
400424,61492,21604,8831,5614,7053,1652,810,Stationary
100452,17179,6539,5476,6179,1693,1209,1115,Stationary
154614,106619,70261,41023,41109,12560,9126,8988,Stationary
268174,30882,4712,2799,3263,2693,968,529,Stationary
264722,166950,24827,47862,18240,31607,24088,8780,Stationary
159265,9677,6861,1423,1444,3015,1144,280,Stationary
60382,85877,10269,9820,22544,15905,9769,11954,Stationary
49922,41027,8876,12452,11290,19160,6624,4858,Stationary
603851,70250,12283,11304,9641,19706,10897,5602,Stationary
10760,57051,29082,26500,10812,9214,11975,4557,Stationary
7338,23271,43020,15659,35244,5700,7770,4493,Stationary
1434135,230551,39793,7882,19457,21577,9967,5626,Stationary
187298,106109,18311,4663,12781,5356,5971,6081,Stationary
115627,87868,4584,2993,6984,1741,1126,1107,Stationary
52270,47971,3753,20169,17776,20297,19678,6734,Stationary
102270,58241,8652,2178,4087,6791,2945,2696,Stationary
370078,341952,69395,11538,7448,6245,1758,8525,Stationary
87462,20950,23365,3042,4719,2594,2195,1583,Stationary
25057,36034,13376,5906,7180,16018,4873,1722,Stationary
449691,28770,27292,24009,13389,20187,12465,3597,Stationary
194368,96504,24406,25604,10574,19190,10827,5644,Stationary
121039,93431,58285,4973,9510,4974,3788,2261,Stationary
1596002,302762,48888,36103,44201,12104,12688,9169,Stationary
20924,89409,4591,16782,8174,7874,24081,2757,Stationary
625366,118225,92743,19622,5682,14365,6600,7919,Stationary
67686,114834,44852,11002,12898,20980,15263,3539,Stationary
55607,32115,8992,3893,2954,3789,3080,1878,Stationary
217282,272426,71833,12812,18301,19549,30575,5644,Stationary
119651,104490,48126,26984,8192,10565,3977,6338,Stationary
59453,7776,1095,5722,4149,2016,1819,1585,Stationary
436312,42910,15102,7354,8427,7130,13061,7132,Stationary
197253,7125,4810,1768,4222,1961,1884,1122,Stationary
21552,17175,10124,20073,33242,9229,7188,4439,Stationary
1100587,90414,24306,34945,15747,9331,5270,8120,Stationary
141588,41060,7049,551,1744,3641,2144,641,Stationary
532433,110897,51434,18942,23429,20376,10946,7567,Stationary
5769,15890,16606,5319,7882,9199,6673,2775,Stationary
95545,2873,3105,5484,4274,5075,1720,411,Stationary
76519,7247,2621,2833,4012,3900,4156,824,Stationary
45489,26139,30511,9956,15054,15076,9087,7271,Stationary
217050,218603,36446,3353,13204,12227,13710,6078,Stationary
125396,59968,9593,11097,5440,3480,10263,788,Stationary
157635,53187,12016,24258,11531,13726,23267,4565,Stationary
26668,14129,12834,13752,2870,8402,14409,2682,Stationary
354724,67453,20594,11898,4572,5142,2090,1419,Stationary
8723,9065,3158,2833,6644,12416,12571,5998,Stationary
48656,15739,3710,6914,886,2206,2866,457,Stationary
104516,38393,29263,13359,16006,10694,7396,2437,Stationary
370561,283304,17011,12336,3919,9780,5734,3394,Stationary
5149,46725,7857,37849,17192,6006,16006,5812,Stationary
637617,158048,24828,33162,23721,17994,18662,12557,Stationary
1475941,62888,44531,8710,23635,20790,16838,6901,Stationary
90196,37918,11559,6423,5473,4107,2221,1472,Stationary
1356900,292474,60397,11434,33989,15675,3102,3079,Stationary
851874,183629,73200,31766,15702,9731,7974,15128,Stationary
346583,40262,9552,4177,9638,11596,9679,6593,Stationary
15146,12188,20323,9943,8777,20988,9527,2240,Stationary
33218,36317,37538,11677,13955,10758,10789,5138,Stationary
103758,37949,4326,4206,2926,5188,5088,1128,Stationary
389932,44802,18717,1940,5549,3403,3715,3896,Stationary
385222,136822,9284,15515,12529,10493,8668,5186,Stationary
2213851,182985,13753,10629,17633,12282,25786,7371,Stationary
307846,38976,12322,14009,8115,8640,26225,5724,Stationary
218789,75989,18246,11202,12869,17917,39511,7334,Stationary
140642,107645,30883,7769,16912,28932,12548,2820,Stationary
515103,74249,5845,2342,3969,3711,2199,1206,Stationary
48822,5558,5591,1306,3067,5262,4859,1602,Stationary
120592,23608,23589,12260,5042,12961,12598,4292,Stationary
37739,23205,15171,6753,10006,35240,12134,13299,Stationary
135931,44522,40480,17020,7093,4411,2215,1156,Stationary
16022,15369,3389,1398,9916,10225,4405,5214,Stationary
289955,59132,5493,12531,9069,18750,7929,5243,Stationary
473056,179344,8921,8404,6545,8996,7825,4697,Stationary
17204,19298,5562,716,3901,4948,4358,1748,Stationary
37139,40382,20085,15320,8816,7600,4722,5917,Stationary
186667,44848,17954,8076,21654,17267,14439,6134,Stationary
10132,19462,10768,7163,6163,12411,11654,1945,Stationary
4351,38205,27269,7064,20420,9976,5614,1706,Stationary
41438,34478,10717,2116,27246,11998,10926,5282,Stationary
736163,159010,14303,11804,27389,18939,11875,6126,Stationary
71314,15943,5294,7599,3713,6189,2628,857,Stationary
138809,18311,15431,1826,1650,1595,3040,379,Stationary
39276,19769,19157,8356,1698,3467,2770,2984,Stationary
334513,105968,48200,5899,24679,24790,10234,6678,Stationary
333326,88988,23753,31429,22310,10414,7931,11420,Stationary
75690,46389,9247,19317,22588,15392,18060,5769,Stationary
28320,7425,21019,5164,9890,6547,21789,4055,Stationary
86104,185221,121323,77461,37184,18249,20209,7508,Stationary
1558788,278831,144224,119518,57873,18187,8665,1885,Stationary
49385,27997,8394,7275,10344,8538,8242,4459,Stationary
169597,15574,7745,3370,4872,5421,3552,461,Stationary
113897,35181,9558,1234,7584,2073,1209,1604,Stationary
58035,18973,4756,1488,2536,2339,1907,3733,Stationary
49609,11415,2895,12136,7215,18245,6894,2419,Stationary
2683,11629,1558,6213,3861,13913,9894,6801,Stationary
89170,14157,16689,2193,3535,4903,5798,1786,Stationary
3351,21511,5595,4507,8081,9828,10545,6936,Stationary
39287,23774,1584,4753,6595,7543,10484,4169,Stationary
82789,35949,44299,10839,3719,8824,8725,944,Stationary
14650,12723,5287,7762,7552,14522,21113,11871,Stationary
451163,67456,23308,1963,14360,27224,13278,4412,Stationary
509082,38016,29351,11386,11012,11838,5731,4907,Stationary
462723,7902,3620,8461,15361,10477,13013,2353,Stationary
73297,66807,53074,9337,11618,13885,7639,8158,Stationary
437562,108355,19202,14835,11192,16400,15167,2211,Stationary
84621,4790,200,3092,1701,3788,1207,574,Stationary
60893,22787,13051,9608,2677,3523,1965,420,Stationary
646178,77777,13083,14857,9639,13147,8919,3220,Stationary
143869,102140,7524,6803,20954,16094,14548,9236,Stationary
698990,366405,64958,111587,31770,15525,9188,5028,Stationary
399334,32072,9290,14664,31007,17074,19622,4772,Stationary
21692,14470,1284,1732,9133,11030,12248,2433,Stationary
4662,20356,1420,2862,5925,8683,13557,4069,Stationary
44033,28591,17984,7197,10513,5792,6357,3824,Stationary
117722,34319,21597,1875,6816,5991,2056,441,Stationary
17832,10760,8654,3295,9192,24741,6643,3251,Stationary
130488,41678,2835,1446,5068,5538,3243,1591,Stationary
297402,15499,1315,6188,645,5281,4550,2032,Stationary
32609,34811,8171,6576,9597,47412,9863,3417,Stationary
70493,108370,56313,28033,25404,16686,15782,7088,Stationary
370538,50420,4646,11161,15793,6686,2712,2831,Stationary
48902,31333,21832,12550,43305,12491,9266,6225,Stationary
60097,28064,4729,4625,4079,3639,3608,1699,Stationary
601290,24787,3614,3389,2159,3949,4012,655,Stationary
202558,129468,33342,10205,52451,21291,26159,19258,Stationary
1079013,149006,23297,33330,20363,18347,11581,5890,Stationary
552264,64186,38765,20346,13354,27827,13932,9684,Stationary
42498,52487,11498,9800,6764,4014,13974,13307,Stationary
114198,6525,1705,8400,6490,3311,2783,2284,Stationary
277440,57373,13104,13500,10627,18520,10312,5181,Stationary
16821,37087,11781,5616,14100,13479,4751,5245,Stationary
744436,51449,8548,29796,11820,29944,18564,4177,Stationary
24686,38742,10389,8067,12662,10149,4906,3113,Stationary
519985,110692,1305,10838,3932,7236,4171,1565,Stationary
6754,6715,3641,3973,5342,18394,8561,4308,Stationary
113902,18698,8091,2102,6360,1697,4431,1458,Stationary
108270,173114,107749,20467,13169,10370,5985,4292,Stationary
106059,67259,14015,13646,2643,1643,1082,604,Stationary
23636,21678,16044,669,3541,1314,2452,454,Stationary
1335116,342970,83089,4480,11928,5870,2768,2482,Stationary
78861,46087,8720,37799,10646,15566,15816,6074,Stationary
126133,80340,11218,18509,10381,13663,9789,13703,Stationary
33137,17695,1484,1237,333,939,614,652,Stationary
159403,89465,16571,10344,10087,3348,4391,1720,Stationary
54218,8372,7682,8252,10168,8008,17694,7555,Stationary
139046,74182,45038,6024,25301,8069,19687,2270,Stationary
52451,34884,29552,24706,16723,8653,7029,2139,Stationary
256912,30603,13006,11397,8046,1929,2499,1192,Stationary
175671,52371,17823,3583,3803,2116,2085,930,Stationary
5852,8582,2122,4438,12161,14999,22836,6952,Stationary
1135083,250375,24050,19156,26710,15791,6545,11216,Stationary
31025,20534,5720,9153,10019,9865,12044,2927,Stationary
238150,49460,15337,2547,2249,2489,1241,656,Stationary
708641,16695,17765,23830,13700,13913,7523,4478,Stationary
8980,4765,4716,10182,14160,7859,10160,3024,Stationary
18043,21292,3512,7237,8367,10361,7417,3427,Stationary
39322,12112,7807,1760,1806,1058,475,78,Stationary
99861,77202,18232,2715,6696,3784,1498,516,Stationary
101056,11361,6090,4370,8407,3872,3488,2832,Stationary
129028,46911,9859,1188,8415,1912,2869,2366,Stationary
71707,61974,30234,35741,5289,17070,19961,3657,Stationary
22402,25909,53156,14467,6713,9143,13210,3702,Stationary
164424,36946,63638,29378,10556,9500,13357,9924,Stationary
20994,12604,981,4111,3301,12577,7349,3300,Stationary
2540880,171864,22381,12536,44582,16066,8515,4897,Stationary
101896,8108,2830,553,9089,9154,2549,1881,Stationary
44526,5411,1719,327,1412,898,289,305,Stationary
82690,94847,26847,16800,22752,14390,11730,4273,Stationary
35631,8600,18589,9962,13236,10038,5862,3369,Stationary
918480,17557,11468,15075,8929,13768,20366,8450,Stationary
78213,117906,9506,1427,18440,7340,8887,1472,Stationary
86785,121976,39331,11296,11529,3358,1754,950,Stationary
182332,65676,33519,6233,9476,2956,1902,2209,Stationary
37394,9028,1886,1127,3956,2067,1164,520,Stationary
38718,12385,8239,4927,1069,1048,1002,625,Stationary
277963,100758,12434,6565,15477,6060,5327,5241,Stationary
91927,8701,17918,20276,14878,7628,16962,1730,Stationary
700504,83637,45686,24643,13915,8020,4941,1237,Stationary
171252,122405,36885,12941,14890,6926,6578,1435,Stationary
28540,5558,1494,1638,5404,5850,5309,2540,Stationary
320692,53863,8951,3861,6300,2088,1161,1016,Stationary
39786,72601,13400,17004,14142,16981,9300,2329,Stationary
103225,64634,7208,18050,26170,11669,7786,3365,Stationary
236752,73124,67785,13154,9591,11189,11107,5386,Stationary
8760,10510,4178,3743,16160,15291,8371,2642,Stationary
75991,16426,1248,16557,16587,7043,5916,4373,Stationary
18438,14314,4595,3418,4337,6818,4630,2260,Stationary
198746,23759,6890,4546,1992,2871,1818,731,Stationary
11626,16669,5142,12905,5247,8048,2299,2558,Stationary
154875,55947,11913,9241,3472,2564,1708,1028,Stationary
7262,34740,10264,5302,9431,13421,14323,4799,Stationary
1121498,128683,9925,13079,38548,23468,15551,4705,Stationary
752408,26870,16004,7128,9207,6586,2546,1438,Stationary
134936,40542,25025,7861,5973,11200,28423,8754,Stationary
91108,77025,8256,3444,7609,4538,3035,906,Stationary
1082111,267395,290553,11879,30291,15036,13829,2179,Stationary
612850,364851,88053,48528,35879,35350,25800,4681,Stationary
226963,131646,34558,8094,11495,10850,7962,5489,Stationary
1005257,137489,60516,22743,43571,27303,9241,14844,Stationary
304698,90876,106903,21433,8342,12922,30204,6986,Stationary
19581,49180,14209,10037,6597,12633,5605,10410,Stationary
930473,917671,15971,17832,35311,53944,25167,19251,Stationary
1301092,78741,10902,23521,13431,26473,16778,10249,Stationary
6875,7880,8309,9473,2713,17757,8930,15519,Stationary
126920,100090,13811,9228,3274,21466,14826,23612,Stationary
75786,77313,34721,1631,6799,4496,2743,2211,Stationary
876934,391786,99165,4288,11067,20772,18942,12888,Stationary
151151,28592,21320,10140,14145,33881,7054,11448,Stationary
1136239,694454,82265,70180,34441,22369,17931,13738,Stationary
469307,79936,29873,35419,24193,9580,10053,9741,Stationary
768663,138347,49315,4854,36808,13237,5486,4175,Stationary
190621,120075,25405,3583,16714,6080,3749,2047,Stationary
1185848,241015,20003,10511,12118,7303,2125,1245,Stationary
96620,31926,8668,2222,3840,3482,2116,1012,Stationary
88935,36523,16169,2982,10503,2624,1400,1591,Stationary
15802,12765,2754,5002,8886,4724,4577,2533,Stationary
221819,86710,5852,15825,30081,6172,5631,2996,Stationary
10869,11248,6955,12593,4349,10362,12608,4553,Stationary
5479,2482,7064,10603,3216,6198,12988,3298,Stationary
117952,49513,16130,5342,6713,3058,1521,1084,Stationary
116707,113624,28485,20480,30123,20097,16935,6138,Stationary
493037,25466,12941,17622,16749,19555,14379,11625,Stationary
104721,17192,3597,2340,2210,3308,2654,1400,Stationary
27299,23346,1599,10905,14594,22871,10415,6698,Stationary
26632,60921,46797,16686,9575,12437,6617,5264,Stationary
16807,38934,11824,17991,49772,31876,12465,3968,Stationary
163902,6536,4560,891,710,992,465,447,Stationary
458647,230553,18602,18753,23411,7988,7673,3658,Stationary
10435,32923,2911,15346,6925,14531,10053,3566,Stationary
358174,170022,63250,30683,21643,14386,5347,6682,Stationary
274646,24195,10572,4259,5861,2830,2979,898,Stationary
16357,6457,1642,2738,2052,20022,28902,11413,Stationary
38368,75597,37239,21888,6906,15068,11599,3256,Stationary
1123092,73735,59330,38330,13459,28421,15115,2950,Stationary
1693255,191254,14295,10258,5336,9632,17669,3198,Stationary
283445,192587,38436,8482,14829,9224,30851,24655,Stationary
122387,9698,659,4100,1806,3375,11967,2098,Stationary
1158285,360932,33745,20036,8214,41528,9360,5659,Stationary
48014,27330,8272,6641,13759,14081,8770,4855,Stationary
121446,17049,2575,1645,2308,2930,3754,2801,Stationary
104460,4378,362,3419,1741,5012,3432,2421,Stationary
68802,26590,16029,2126,3247,6022,3277,578,Stationary
109154,5575,2776,1475,4194,4319,3607,2011,Stationary
136656,21982,2446,847,2615,6957,2067,1013,Stationary
101072,17457,8842,8736,3845,5199,5200,1054,Stationary
27356,44145,37393,9157,14167,9758,12983,5559,Stationary
11403,23272,1984,6778,1631,12329,6508,3150,Stationary
6254,22158,4151,6268,3153,12413,14784,1783,Stationary
51709,12725,417,2129,9518,5894,2131,2663,Stationary
465438,111035,33258,16016,14365,11942,4873,2826,Stationary
908204,42103,10683,22318,28761,19558,7617,5715,Stationary
25048,7155,4003,7684,17309,15305,15454,6670,Stationary
138286,237329,60813,8575,12239,10331,10202,5942,Stationary
370111,23380,7718,22107,17816,11869,9374,6921,Stationary
125002,77645,17474,20634,6424,7344,5706,995,Stationary
84933,12451,1100,9536,3254,3344,4384,974,Stationary
29970,29051,19482,13197,9105,27891,13985,2780,Stationary
300375,425535,102436,33895,29678,13294,33500,3853,Stationary
118680,21865,13648,13013,9092,12458,18013,5883,Stationary
15467,44902,26056,5332,7924,21475,17500,2331,Stationary
68498,49542,16434,26194,17412,20013,17452,4659,Stationary
194175,19925,8588,3456,7210,4721,4442,968,Stationary
192343,57813,18389,6420,11894,15097,18587,1357,Stationary
25009,24771,5777,19195,5400,25444,25943,10849,Stationary
228444,38173,11402,6093,6126,6380,4560,2657,Stationary
301409,59103,1137,2330,3420,6328,6161,1574,Stationary
364215,21708,3293,11170,5761,2710,4760,1253,Stationary
98818,24813,7753,17163,11921,26359,3244,4280,Stationary
22340,8247,11610,11319,20691,14110,6843,8108,Stationary
17631,28517,63730,11678,4635,15836,33185,6653,Stationary
158056,34125,1994,2282,3660,8401,5121,2268,Stationary
241193,103226,4495,11506,6845,7990,31816,4733,Stationary
33474,26272,12334,54509,40229,12686,7819,7074,Stationary
245836,63694,4510,13982,11627,9693,21172,6472,Stationary
24299,22140,16171,15243,14066,6421,3678,8172,Stationary
26134,29430,19226,16059,4966,7063,7252,2876,Stationary
133671,37886,7030,13368,5780,4866,1584,504,Stationary
113063,25118,6873,8681,8596,7196,2031,853,Stationary
220436,60645,15420,9710,6981,6259,5264,5257,Stationary
77935,31628,11854,6395,7894,11049,7877,7883,Stationary
13562,30782,13958,8355,6983,12308,7222,4389,Stationary
27254,15671,7559,20116,22249,10843,4656,3340,Stationary
84275,7384,3526,184,1637,1416,635,215,Stationary
58332,11198,7059,2771,1658,945,660,894,Stationary
133538,83428,13003,9582,11679,33145,23928,4341,Stationary
6476,2518,8331,2314,2843,5310,5005,4638,Stationary
2780,4262,10178,1487,4051,5828,6024,1709,Stationary
237804,8295,11833,13289,5432,5785,4502,1283,Stationary
54480,8186,3317,2467,1787,1379,745,624,Stationary
18937,5230,7528,3685,5105,8873,7711,3509,Stationary
48858,12566,3639,3487,5660,1273,989,1449,Stationary
30056,26594,20038,17494,8703,11103,5015,3555,Stationary
414531,160082,41051,5334,17081,4263,4589,1707,Stationary
204689,31738,4988,1769,4368,5529,1383,824,Stationary
37334,13625,4299,32714,23373,25881,7797,2501,Stationary
